account_number,bank,balance,creation_date,insurance
8896652943,Bantrab,4601,2020-02-23,False
4523727433,Ficohsa,5296,2022-02-13,True
8133093271,G&T,4777,2015-06-24,False
2298764744,Banrural,3323,2016-10-30,True
6618333118,Banco Industrial,6059,2020-11-11,False
8545115719,Banrural,4711,2017-01-03,False
7687324428,Banco Industrial,3599,2016-03-27,False
7568387941,Bantrab,4449,2021-11-02,False
2947432538,Ficohsa,2991,2016-08-08,True
3723798724,Ficohsa,1223,2016-06-28,True
7480342656,Banrural,2453,2023-06-15,True
1423807029,G&T,6483,2014-07-15,True
8188850700,Ficohsa,2957,2018-07-14,False
7126291288,G&T,971,2012-12-07,False
3844920654,Banco Azteca,5947,2019-08-01,False
7735397399,Bantrab,1792,2020-07-30,False
7763780032,Banrural,4843,2020-12-16,False
5077994852,Ficohsa,6416,2015-03-12,True
7533154811,Banco Azteca,4790,2012-01-31,False
3632843934,Bantrab,3230,2015-04-29,True
5838361809,G&T,6585,2018-01-02,True
8354339347,G&T,4354,2019-10-10,True
3543851671,Banco Azteca,2044,2014-01-28,True
8261408829,Bantrab,130,2013-07-16,False
1305960316,Bantrab,3694,2010-09-30,False
7136889801,Bantrab,6008,2018-06-14,True
4708314059,Ficohsa,3317,2020-07-15,False
7816200684,Banco Azteca,6585,2017-08-18,False
3080026077,BAM,6179,2017-05-20,True
2843245830,Banco Azteca,3330,2016-10-18,True
3055293649,Ficohsa,5957,2016-02-16,True
1144185406,Banrural,3094,2018-09-20,False
5343000047,BAM,1243,2013-01-11,False
3879097534,Bantrab,4023,2014-12-22,True
2036400572,Banrural,5989,2020-08-18,False
6699843396,Banrural,4913,2022-09-08,True
7748793264,BAM,1416,2011-05-18,True
8745831173,G&T,2,2023-05-05,False
5443066062,Ficohsa,2796,2014-05-10,False
5424098145,Banco Industrial,5154,2018-06-06,True
7376906889,Ficohsa,461,2015-02-12,False
8372427118,Banco Azteca,6323,2012-08-09,False
5534484683,Ficohsa,1064,2016-07-22,False
8016401540,BAM,5608,2015-01-15,True
3664377117,Banco Azteca,4000,2015-10-02,True
1406384366,Bantrab,1082,2016-04-18,True
6619281649,Bantrab,4294,2023-07-04,False
4293009080,Bantrab,6995,2022-12-11,True
6427768968,Banco Azteca,55,2021-01-11,True
2800964351,Ficohsa,4612,2021-08-14,True
8621408031,Banrural,5362,2015-04-16,True
6085480735,Banrural,2026,2011-03-05,True
6943076239,Bantrab,776,2017-03-24,True
8936431605,Ficohsa,5306,2021-05-21,False
6185390961,Ficohsa,5634,2017-04-22,True
2683821281,Banco Industrial,6084,2017-11-27,False
7548491307,Banco Azteca,6771,2015-02-25,True
6208171240,Bantrab,335,2012-02-18,False
8089829162,BAM,4521,2019-04-20,False
7742498878,Banco Industrial,6312,2018-01-17,True
8502871517,Bantrab,2743,2014-12-04,False
1174376351,Ficohsa,3254,2012-06-21,False
2435118081,BAM,6454,2017-06-14,True
4136268480,Bantrab,2438,2013-07-28,True
4055883223,Banco Industrial,1579,2022-11-27,True
8962118341,Banco Industrial,3883,2015-01-11,False
7129410544,Ficohsa,6051,2019-01-01,False
5038715804,Bantrab,5389,2017-12-11,True
2300086127,Ficohsa,1718,2022-11-19,False
2034678208,Banco Industrial,2537,2023-08-06,True
6094788012,BAM,5690,2017-02-10,False
5013766562,Bantrab,6317,2023-04-30,True
5529078027,Ficohsa,1658,2021-02-18,False
4452056256,Bantrab,2415,2017-12-10,True
6212059817,Bantrab,245,2013-05-16,True
3544748238,BAM,2616,2018-11-22,True
5064710199,G&T,5863,2018-07-16,True
6853396789,BAM,1110,2012-10-12,True
2285733683,Ficohsa,5584,2023-12-23,False
1188775025,Ficohsa,1768,2011-06-20,True
3481957149,Bantrab,3216,2023-09-10,False
2894746061,Bantrab,1688,2012-10-31,True
4673558196,BAM,6241,2016-08-11,True
7894279941,G&T,1798,2011-06-17,True
3782977140,Banrural,5149,2020-08-11,False
6473621604,Banrural,3452,2016-10-27,True
1094710020,Bantrab,4338,2014-01-25,True
1300298869,Banco Industrial,1694,2022-08-21,True
4599839168,Banrural,5288,2011-04-22,True
8614254527,BAM,5890,2022-07-16,False
6551158527,Banco Industrial,625,2018-03-08,True
8885184528,BAM,4759,2023-09-25,False
4630223960,Banrural,656,2021-10-06,True
3564620486,BAM,853,2021-10-20,False
6625075842,Ficohsa,1738,2019-03-26,True
8794250994,BAM,3592,2023-11-01,True
3216869927,Bantrab,4165,2018-10-23,False
6137844230,Banco Industrial,2375,2017-03-26,False
7757179651,Banrural,4214,2015-06-06,False
3507287127,Bantrab,3411,2021-05-07,False
7555097683,Banco Azteca,2722,2011-10-22,True
1890862683,Banco Industrial,3535,2012-08-22,True
4660258386,G&T,2836,2021-10-07,True
8157095379,G&T,1357,2012-04-10,True
5674473670,Ficohsa,452,2019-12-16,False
4510440218,Banrural,3684,2018-03-15,True
3949282948,Banco Azteca,5145,2012-08-03,False
4403147864,Banco Industrial,4738,2015-05-11,False
5024477627,Ficohsa,5311,2011-03-18,False
2037184623,Bantrab,6982,2014-03-23,True
3180783415,G&T,5036,2011-05-16,False
4246401940,Bantrab,4103,2012-01-23,True
6658325011,Banco Industrial,6362,2018-08-29,False
3814996342,Ficohsa,6397,2021-04-24,False
8538647110,Banco Azteca,2865,2021-06-24,False
7227301728,Banco Industrial,6686,2016-05-08,False
7243099010,G&T,1068,2020-06-09,True
2273084850,Ficohsa,5320,2010-10-02,True
7627650502,G&T,2762,2017-02-17,True
8340767213,G&T,2648,2011-04-27,True
7555373689,Banco Azteca,6001,2017-11-12,False
3900766318,Bantrab,6120,2017-02-11,False
