id,supplier,client,emission_date,amount
2000,Distribuidora Mariscal,Geraldo Nicholson,2023-01-23,104
2001,Ferreter�as Coronado,Timothee Williams,2018-04-02,2816
2002,Farmacias R&R,Jessyca Flores,2017-02-14,1123
2003,Repuestos Aioli,Dwayne Johnson,2011-06-30,242
2004,Fertilizantes Mayafer,Timothy Roth,2010-12-27,1490
2005,Salsas Don Justo,Andrew Balls,2022-08-20,1220
2006,Socios S.A.,James Rodriguez,2022-02-17,973
2007,Muebles El Roble,Tyler Wise,2015-08-20,3349
2008,FIHCA S.A,John Hill,2021-02-03,3261
2009,Q&A,Lisa Stuart,2012-01-10,1364
