id,account_num,amount,tran_date,description,is_valid
1,6378366585,3488.72,2014-02-28,pagos varios,False
2,7613894021,1278.39,2023-09-10,pagos varios,True
3,2531706945,1701.29,2015-03-13,pagos varios,True
4,3572998580,5220.02,2015-11-04,pagos varios,False
5,7265216738,1188.43,2014-10-06,pagos varios,True
6,2129760838,1245.8,2020-09-25,pagos varios,True
7,8147602123,2243.55,2018-05-31,pagos varios,True
8,8766492935,3389.4,2014-12-20,pagos varios,False
9,8220548006,5601.17,2018-01-04,pagos varios,False
10,3808206263,3448.31,2023-10-13,pagos varios,False
11,8984922973,1171.48,2012-07-03,pagos varios,False
12,3664377117,591.42,2012-01-10,pagos varios,True
13,1804930758,764.12,2010-10-18,pagos varios,True
14,5442502750,4009.15,2016-06-20,pagos varios,False
15,1144185406,1259.54,2023-03-15,pagos varios,True
16,8959626966,1128.15,2019-03-11,pagos varios,True
17,6209295227,3865.85,2015-04-03,pagos varios,False
18,2150417554,514.17,2010-01-29,pagos varios,True
19,2147693778,5887.22,2010-11-09,pagos varios,False
20,1750961568,551.76,2022-09-05,pagos varios,True
21,7978694492,2027.75,2021-04-03,pagos varios,False
22,3146473147,1157.16,2020-05-11,pagos varios,False
23,5955425014,1852.69,2021-01-07,pagos varios,True
24,8668253199,747.89,2014-02-19,pagos varios,False
25,2878928459,1205.23,2013-11-16,pagos varios,True
26,5870077558,1917.42,2011-12-26,pagos varios,True
27,2751327416,2509.59,2013-12-02,pagos varios,False
28,4134404587,1502.68,2014-03-15,pagos varios,True
29,7521362137,802.26,2022-03-11,pagos varios,True
30,6608664131,4187.61,2013-10-02,pagos varios,False
31,2259146451,305.96,2017-05-29,pagos varios,True
32,3812015062,2419.52,2018-06-23,pagos varios,True
33,6405194125,508.13,2021-09-28,pagos varios,True
34,2273084850,1519.26,2017-06-28,pagos varios,True
35,2425891687,119.1,2016-11-28,pagos varios,True
36,7944894153,1161.18,2012-07-13,pagos varios,False
37,3080026077,281.64,2018-08-29,pagos varios,True
38,7411752886,2821.39,2021-07-09,pagos varios,False
39,5576006336,990.38,2010-06-14,pagos varios,False
40,4479355662,3292.08,2013-07-01,pagos varios,False
41,8763578543,329.23,2012-06-28,pagos varios,True
42,6051335287,2515.01,2014-05-30,pagos varios,False
43,6089370912,1168.07,2023-12-05,pagos varios,True
44,1653501995,1646.54,2022-03-02,pagos varios,True
45,5038715804,1051.11,2023-08-19,pagos varios,True
46,8213649575,1592.77,2020-02-19,pagos varios,False
47,6108079050,669.59,2020-12-24,pagos varios,False
48,8936431605,2551.89,2020-01-12,pagos varios,True
49,5571612400,903.9,2014-05-03,pagos varios,True
50,2800964351,3702.02,2020-08-10,pagos varios,False
51,4671648921,2004.12,2014-01-11,pagos varios,False
52,8904332729,3811.98,2012-10-05,pagos varios,False
53,3697054093,2186.06,2013-04-27,pagos varios,False
54,4136268480,1659.04,2012-11-06,pagos varios,False
55,8447042690,1221.3,2010-02-01,pagos varios,True
56,6208171240,237.96,2018-03-31,pagos varios,False
57,3130115198,202.65,2013-05-15,pagos varios,True
58,7548491307,1522.6,2023-12-20,pagos varios,True
59,5534484683,34.22,2020-06-29,pagos varios,True
60,4673558196,5808.03,2021-05-14,pagos varios,False
61,5455706399,3125.05,2018-03-14,pagos varios,False
62,1174376351,845.21,2017-02-26,pagos varios,True
63,1119846499,891.09,2023-01-15,pagos varios,False
64,5233927456,3245.5,2017-11-27,pagos varios,False
